wheelbase,carlength,carwidth,carheight,enginesize,price
88.6,168.8,64.1,48.8,130,13495
88.6,168.8,64.1,48.8,130,16500
94.5,171.2,65.5,52.4,152,16500
99.8,176.6,66.2,54.3,109,13950
99.4,176.6,66.4,54.3,136,17450
99.8,177.3,66.3,53.1,136,15250
105.8,192.7,71.4,55.7,136,17710
105.8,192.7,71.4,55.7,136,18920
105.8,192.7,71.4,55.9,131,23875
99.5,178.2,67.9,52,131,17859.167
101.2,176.8,64.8,54.3,108,16430
101.2,176.8,64.8,54.3,108,16925
101.2,176.8,64.8,54.3,164,20970
101.2,176.8,64.8,54.3,164,21105
103.5,189,66.9,55.7,164,24565
103.5,189,66.9,55.7,209,30760
103.5,193.8,67.9,53.7,209,41315
110,197,70.9,56.3,209,36880
88.4,141.1,60.3,53.2,61,5151
94.5,155.9,63.6,52,90,6295
94.5,158.8,63.6,52,90,6575
93.7,157.3,63.8,50.8,90,5572
93.7,157.3,63.8,50.8,90,6377
93.7,157.3,63.8,50.8,98,7957
93.7,157.3,63.8,50.6,90,6229
93.7,157.3,63.8,50.6,90,6692
93.7,157.3,63.8,50.6,90,7609
93.7,157.3,63.8,50.6,98,8558
103.3,174.6,64.6,59.8,122,8921
95.9,173.2,66.3,50.2,156,12964
86.6,144.6,63.9,50.8,92,6479
86.6,144.6,63.9,50.8,92,6855
93.7,150,64,52.6,79,5399
93.7,150,64,52.6,92,6529
93.7,150,64,52.6,92,7129
96.5,163.4,64,54.5,92,7295
96.5,157.1,63.9,58.3,92,7295
96.5,167.5,65.2,53.3,110,7895
96.5,167.5,65.2,53.3,110,9095
96.5,175.4,65.2,54.1,110,8845
96.5,175.4,62.5,54.1,110,10295
96.5,175.4,65.2,54.1,110,12945
96.5,169.1,66,51,110,10345
94.3,170.7,61.8,53.5,111,6785
94.5,155.9,63.6,52,90,8916.5
94.5,155.9,63.6,52,90,8916.5
96,172.6,65.2,51.4,119,11048
113,199.6,69.6,52.8,258,32250
113,199.6,69.6,52.8,258,35550
102,191.7,70.6,47.8,326,36000
93.1,159.1,64.2,54.1,91,5195
93.1,159.1,64.2,54.1,91,6095
93.1,159.1,64.2,54.1,91,6795
93.1,166.8,64.2,54.1,91,6695
93.1,166.8,64.2,54.1,91,7395
95.3,169,65.7,49.6,70,10945
95.3,169,65.7,49.6,70,11845
